18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_1'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_2'
18:11:05 CM101M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_1'
18:11:05 CM101M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_1'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_2'
18:11:05 CM101M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_1'
18:11:05 CM101M    AZ390 MNOTE 8,'DISABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - MAIN_QUEUE'
18:11:05 CM101M    AZ390 MNOTE 8,'MOVE TARGET FIELD NOT FOUND - NO_SPEC_1'
18:11:05 CM101M    AZ390 MNOTE 8,'ENABLE NOT SUPPORTED YET'
18:11:05 CM101M    AZ390 MNOTE 8,'IF FIELD NOT FOUND - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - STATUS_KEY'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE NUMERIC LITERAL FOR CHARACTER FIELD'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - DATE_RECEIVED'
18:11:05 CM101M    AZ390 MNOTE 8,'GEN_MOVE UNKNOWN LIT - WHERE_FROM'
18:11:05 CM101M    AZ390 AZ390E error  45   (91/192)2494   PASSWORD1    DC CL10XXXXX031
18:11:05 CM101M    AZ390 AZ390I invalid dc delimiter for type - CL10X
18:11:05 CM101M    AZ390 MNOTE 'GEN_WS WS LOC OFFSET ERROR AT DISABLE_STATUS'
